id,price_doc
30474,5262717.0
30475,9038070.0
30476,5287024.0
30477,5920384.0
30478,5344089.0
30479,10847774.0
30480,4307228.0
30481,4244052.0
30482,5088838.0
30483,5041258.0
30484,6676176.0
30485,5000253.0
30486,3857835.0
30487,3940428.0
30488,6480739.0
30489,6319924.0
30490,25686096.0
30491,15214475.0
30492,6284458.0
30493,8811334.0
30494,6891484.0
30495,10804864.0
30496,8605414.0
30497,7823356.0
30498,3604395.0
30499,6008120.0
30500,13192068.0
30501,6251592.0
30502,3255390.0
30503,3862614.0
30504,6074016.0
30505,11655134.0
30506,2942840.0
30507,4873478.0
30508,5069825.0
30509,6936486.0
30510,9284895.0
30511,5693648.0
30512,5564450.0
30513,4422334.0
30514,3445083.0
30515,10108634.0
30516,5656818.0
30517,12346110.0
30518,8260180.0
30519,3590788.0
30520,8098606.0
30521,2328582.0
30522,7405240.0
30523,6220916.0
30524,8991611.0
30525,8105808.0
30526,4991496.0
30527,4338821.0
30528,6531057.0
30529,6903970.0
30530,5582794.0
30531,11524973.0
30532,5070797.0
30533,10210658.0
30534,6686358.0
30535,9329737.0
30536,5117712.0
30537,10977570.0
30538,4598649.0
30539,8709924.0
30540,9434997.0
30541,6457992.0
30542,2019067.0
30543,4651468.0
30544,4872474.0
30545,7521826.0
30546,3674886.0
30547,9651081.0
30548,4500384.0
30549,5512346.0
30550,9929522.0
30551,4795118.0
30552,2010689.0
30553,6864381.0
30554,8458606.0
30555,6137724.0
30556,8912419.0
30557,7331743.0
30558,7853467.0
30559,5332588.0
30560,4380752.0
30561,6566512.0
30562,14071840.0
30563,4438360.0
30564,6444487.0
30565,7018090.0
30566,7338892.0
30567,2011211.0
30568,9533840.0
30569,8272952.0
30570,7248786.0
30571,8366480.0
30572,5111074.0
30573,6561060.0
30574,5043042.0
30575,6754840.0
30576,4026965.0
30577,3035882.0
30578,3126083.0
30579,5553863.0
30580,3732693.0
30581,5737511.0
30582,12078115.0
30583,7160306.0
30584,3904300.0
30585,3852203.0
30586,8870742.0
30587,5989870.0
30588,5626178.0
30589,5412289.0
30590,12034538.0
30591,4585262.0
30592,4347922.0
30593,7715226.0
30594,7510673.0
30595,4878054.0
30596,6894692.0
30597,6532390.0
30598,9362252.0
30599,11494459.0
30600,4953795.0
30601,5469610.0
30602,2006458.0
30603,13121176.0
30604,4026339.0
30605,6855523.0
30606,15363371.0
30607,6054272.0
30608,9244287.0
30609,6445575.0
30610,3286211.0
30611,5022380.0
30612,7750713.0
30613,8670624.0
30614,19114372.0
30615,5496571.0
30616,5167284.0
30617,8174674.0
30618,4585764.0
30619,3907220.0
30620,2941656.0
30621,7343542.0
30622,8536769.0
30623,5453230.0
30624,6785354.0
30625,7638420.0
30626,5577488.0
30627,4465609.0
30628,6333759.0
30629,5205458.0
30630,4603436.0
30631,6289446.0
30632,4617414.0
30633,4882406.0
30634,10154413.0
30635,9740031.0
30636,5842410.0
30637,9390186.0
30638,5899131.0
30639,7525314.0
30640,4709158.0
30641,7528300.0
30642,7228401.0
30643,8069096.0
30644,9337606.0
30645,6727980.0
30646,5223022.0
30647,4906930.0
30648,35592916.0
30649,2779238.0
30650,5121530.0
30651,2971414.0
30652,4689537.0
30653,7287874.0
30654,4539671.0
30655,14117273.0
30656,3653518.0
30657,5189592.0
30658,10346123.0
30659,5240785.0
30660,7125422.0
30661,6348600.0
30662,8411731.0
30663,12604488.0
30664,14035947.0
30665,6473666.0
